date,youbi,doctor_id,assistant_id,level,note,filler
2026-09-21,月,D01,B01,2,新規,no
2026-09-21,月,D01,A01,3,新規,no
2026-09-21,月,D02,B04,2,新規,no
2026-09-21,月,D02,A03,3,新規,no
2026-09-21,月,D03,A05,3,新規,no
2026-09-21,月,D04,B02,2,新規,no
2026-09-21,月,D04,A02,3,新規,no
2026-09-21,月,D05,C02,1,フィラー,yes
2026-09-22,火,D01,B01,2,継続,no
2026-09-22,火,D01,A01,3,継続,no
2026-09-22,火,D02,B03,2,変更,no
2026-09-22,火,D02,A03,3,継続,no
2026-09-22,火,D03,A04,3,変更,no
2026-09-22,火,D04,C01,1,フィラー,yes
2026-09-23,水,D01,C02,1,フィラー,yes
2026-09-23,水,D01,B01,2,継続,no
2026-09-23,水,D01,A01,3,継続,no
2026-09-23,水,D02,B04,2,変更,no
2026-09-23,水,D02,A04,3,変更,no
2026-09-23,水,D04,B02,2,継続,no
2026-09-23,水,D04,A02,3,継続,no
2026-09-24,木,D01,B01,2,継続,no
2026-09-24,木,D01,A01,3,継続,no
2026-09-24,木,D02,B03,2,変更,no
2026-09-24,木,D02,A02,3,変更,no
2026-09-24,木,D03,B02,2,新規,no
2026-09-24,木,D03,A05,3,変更,no
2026-09-24,木,D04,A03,3,変更,no
2026-09-24,木,D05,C01,1,フィラー,yes
2026-09-25,金,D01,B04,2,変更,no
2026-09-25,金,D01,A04,3,変更,no
2026-09-25,金,D02,A03,3,変更,no
2026-09-25,金,D04,B02,2,継続,no
2026-09-25,金,D04,A06,3,変更,no
2026-09-26,土,D01,C01,1,フィラー,yes
2026-09-26,土,D01,A04,3,継続,no
2026-09-26,土,D03,C02,1,フィラー,yes
2026-09-26,土,D03,A05,3,継続,no
2026-09-26,土,D05,A03,3,新規,no
