date,doctor_id,issue,detail
2026-09-21,D03,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-09-21,D05,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-09-21,D05,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-09-22,D03,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-09-22,D04,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-09-22,D04,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-09-22,D05,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-09-22,D05,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-09-24,D04,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-09-24,D05,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-09-24,D05,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-09-25,D02,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-09-25,D03,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-09-25,D03,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-09-25,D05,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-09-25,D05,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-09-26,D01,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-09-26,D03,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-09-26,D05,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
(週間),-,週4日未達,A02 は出勤5日に対し、配置は3日でした
(週間),-,週4日未達,A05 は出勤4日に対し、配置は3日でした
