date,doctor_id,issue,detail
2026-09-30,D02,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-09-30,D02,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-09-30,D04,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-09-30,D04,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-09-30,D05,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-09-30,D05,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-09-30,D06,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-09-30,D06,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-09-30,D13,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-09-30,D13,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-10-03,D01,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-10-03,D01,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-10-03,D02,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-10-03,D02,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-10-03,D03,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-10-03,D03,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-10-03,D04,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-10-03,D04,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-10-03,D06,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-10-03,D06,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-10-03,D11,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-10-03,D11,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-10-04,D01,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-10-04,D01,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-10-04,D02,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-10-04,D02,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-10-04,D05,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-10-04,D05,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-10-04,D09,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-10-04,D09,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-10-04,D12,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-10-04,D12,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-10-07,D01,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-10-07,D01,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-10-07,D02,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-10-07,D02,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-10-07,D04,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-10-07,D04,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-10-07,D05,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-10-07,D05,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-10-07,D06,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-10-07,D06,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-10-07,D14,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-10-07,D14,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-10-10,D01,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-10-10,D01,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-10-10,D02,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-10-10,D02,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-10-10,D04,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-10-10,D06,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-10-10,D06,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-10-10,D08,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-10-10,D08,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-10-10,D14,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-10-10,D14,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-10-11,D01,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-10-11,D02,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-10-11,D02,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-10-11,D05,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-10-11,D05,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-10-11,D12,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-10-11,D12,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-10-14,D01,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-10-14,D02,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-10-14,D02,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-10-14,D04,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-10-14,D04,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-10-14,D05,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-10-14,D05,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-10-14,D06,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-10-14,D06,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-10-14,D08,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-10-17,D01,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-10-17,D02,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-10-17,D02,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-10-17,D06,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-10-17,D06,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-10-17,D11,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-10-18,D02,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-10-18,D02,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-10-18,D05,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-10-18,D05,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-10-18,D10,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-10-18,D10,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-10-18,D12,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-10-18,D12,Lv2不在,条件を満たすLv2アシスタントがおらず、Lv3のみで対応しています
2026-10-21,D01,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-10-21,D02,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
2026-10-21,D04,Lv3不足,条件(出勤枠が一致)を満たすLv3アシスタントがいません
