date,staff_id,symbol
2026-09-21,D01,〇
2026-09-21,D02,〇
2026-09-21,D03,〇
2026-09-21,D04,AB
2026-09-21,D05,〇
2026-09-22,D01,〇
2026-09-22,D02,AB
2026-09-22,D03,〇
2026-09-22,D04,〇
2026-09-22,D05,〇
2026-09-23,D01,〇
2026-09-23,D02,〇
2026-09-23,D04,AB
2026-09-24,D01,〇
2026-09-24,D02,AB
2026-09-24,D03,〇
2026-09-24,D04,〇
2026-09-24,D05,〇
2026-09-25,D01,〇
2026-09-25,D02,〇
2026-09-25,D03,〇
2026-09-25,D04,AB
2026-09-25,D05,〇
2026-09-26,D01,〇
2026-09-26,D03,〇
2026-09-26,D05,〇
2026-09-21,A01,〇
2026-09-22,A01,〇
2026-09-23,A01,〇
2026-09-24,A01,〇
2026-09-25,A01,〇
2026-09-21,A02,AB
2026-09-22,A02,AB
2026-09-23,A02,AB
2026-09-24,A02,AB
2026-09-25,A02,AB
2026-09-21,A03,〇
2026-09-22,A03,〇
2026-09-24,A03,〇
2026-09-25,A03,〇
2026-09-26,A03,〇
2026-09-22,A04,〇
2026-09-23,A04,〇
2026-09-25,A04,〇
2026-09-26,A04,〇
2026-09-21,A05,〇
2026-09-23,A05,〇
2026-09-24,A05,〇
2026-09-26,A05,〇
2026-09-21,A06,AB
2026-09-23,A06,AB
2026-09-25,A06,AB
2026-09-21,B01,〇
2026-09-22,B01,〇
2026-09-23,B01,〇
2026-09-24,B01,〇
2026-09-21,B02,AB
2026-09-22,B02,〇
2026-09-23,B02,AB
2026-09-24,B02,〇
2026-09-25,B02,AB
2026-09-22,B03,AB
2026-09-24,B03,AB
2026-09-26,B03,AB
2026-09-21,B04,〇
2026-09-23,B04,〇
2026-09-25,B04,〇
2026-09-22,C01,〇
2026-09-24,C01,〇
2026-09-26,C01,〇
2026-09-21,C02,〇
2026-09-23,C02,〇
2026-09-26,C02,〇
